seed,Test,True,ARMA,Informer,Informer_para,Informer_lr
7,"[-0.8232601166334932, -0.5298394014472506, -0.3387823766722479, -0.7212923203315648, 0.2598628305207872, -0.1039366254986972, 0.3854609948048303, -0.07987568228383563, -1.3004569534483674, -1.9072242717731585]","[-0.7770452226186639, -0.4347375053241612, -0.31247064878517, -0.18254705227966292, -0.6300187941917332, 0.5748722276166538, -0.39137273930702415, 0.5811473644583425, -0.3704493645130068, -1.1152322711918639]","[-0.6978165856320984, -0.3968793785708757, -0.2811757379408464, -0.1664061974939002, -0.5665413109097184, 0.5101610850064371, -0.34150562944016344, 0.509554235940544, -0.3168562271471964, -1.0074545354112834]","[0.43980545, -0.8252607, -1.0589557, -0.1807476, 0.8761875, -0.008528616, -1.2126343, 0.32290417, 0.2076912, 0.83019805]","(10, 2)",1e-07
5,"[-1.519516268580265, -1.9567182899100213, -0.3942312312214392, 1.2259767836303324, 0.6115227427302498, -0.8980431558406511, -1.024683007165081, -0.7525965944647041, 0.2672627656501367, -0.35985101828423405]","[-0.520535967908677, -1.2592482846259265, -1.327094147597058, 0.2693158425770898, 1.0913188623417875, 0.06586331155935604, -0.9309748116203291, -0.5591956013549165, -0.4729987937872458, 0.5037621625437596]","[-0.513624048910849, -1.246469755421975, -1.2979820565942326, 0.2937735728232192, 1.0691443447610172, 0.04061672229869437, -0.9200082481375611, -0.5315664360626418, -0.4681143524277487, 0.5185710212639378]","[0.6502241, 0.17948845, -0.6607955, -0.4334574, -0.7961745, -0.9412883, -0.4444351, 0.7434394, 0.8317693, 0.74984545]","(10, 2)",1e-08
21,"[-0.8936733867048263, 0.18994197245032862, 1.335188669050055, 0.7564370579540775, -0.7507694914830492, -0.6151433405298958, 0.11318037870934838, -0.746704887720932, -1.7175734274000156, -1.3528722288630806]","[-0.6291354606522113, -0.5791056563787207, 0.47949480063968897, 1.0954412687302106, 0.2087164235889722, -0.8551277032775353, -0.1875794888911282, 0.20697012315491248, -0.8501899492983882, -1.2924784527508213]","[-0.594815249865635, -0.5937533541026023, 0.5418733773975136, 1.0868202860691334, 0.16402921512569224, -0.882857083695533, -0.13216362047184588, 0.19543116173195238, -0.8971115762197712, -1.2806708302230891]","[1.0590171, 0.12569368, 0.870708, 0.99326396, 0.32790023, -0.55524206, 0.9687295, -0.056342084, -0.8314203, -0.5028553]","(10, 2)",1e-08
20,"[0.6919287386873479, 0.4648315726744983, -0.14960425021182708, 0.18635573270171957, 0.29680787974086487, -0.4484899218346412, -0.2992076453888737, -0.06076795898061571, 0.274627471855408, -0.3427802568587124]","[0.0876909677511867, 0.6480832548117545, 0.14078994526862101, -0.2199992228461376, 0.29635534412478837, 0.14863020767847068, -0.5228050256738765, -0.037805132551935405, -0.04186539270464801, 0.295560168207732]","[0.06181320855805152, 0.6427597980650689, 0.0941758446344963, -0.19923744205575286, 0.2944968929986266, 0.12493587196568989, -0.5093969935005913, -0.0061781684167545176, -0.05599603957552835, 0.30020777045602]","[0.46569094, 0.341476, -0.0758746, 0.2920256, 0.4387953, 0.17894411, 0.34445623, 0.29037687, 0.082743004, 0.2357769]","(20, 4)",1e-07
4,"[0.5410634348616266, 0.5097665400950302, 0.5667117941097729, 1.0781615282146044, 0.4083071368106441, 0.10370790334011548, 1.0541410512349865, 0.5330146905372262, 0.8459085031782458, -0.005321208465915772]","[-0.3949986432210948, 0.738562756472174, 0.14048516185894322, 0.4964692131803013, 0.8299269216244538, -0.006656324001582781, 0.10703606534090687, 1.000623018564533, 0.032703181254959635, 0.829556912550766]","[-0.4756533387931024, 0.3753121758061425, -0.14188346171918242, 0.42204264157238, 0.5777124643948992, 0.009739087103847632, 0.20317528712358218, 0.9316574420234836, 0.03293751484813179, 1.0321927960442645]","[1.2040299, 0.70172876, -0.28984165, -1.2360824, -0.83874667, -1.2619616, -1.1645073, -0.43660873, -1.3163002, -0.7940613]","(10, 2)",1e-07
14,"[-1.2440986860865688, -0.4865508935504905, 0.2975830767098091, 0.7568197055496705, 0.16370804313753556, 0.3232395075890545, 0.4764214573147744, -0.18314757271140183, -0.9892241619774378, -1.1428070380385411]","[-1.3117611664475848, -0.5882181028627764, -0.1924418421191023, 0.39380399776936026, 0.5599177066649903, -0.11625081019495961, 0.38136491268653433, 0.2857390009715073, -0.32601707319715545, -0.8262156253788601]","[-1.295782134091272, -0.5822200745646684, -0.19007800320821644, 0.38789531918643694, 0.5530771476163724, -0.11403413880780093, 0.37524012538434615, 0.28260852181676693, -0.321275599760081, -0.8151522625871755]","[-0.7145226, -0.6525331, -0.6775638, -0.17505807, 0.08933668, -0.8510972, -0.034598667, 0.27969182, -0.33323345, 0.4086007]","(10, 2)",1e-07
10,"[-0.8772296308972455, -1.6549104396358945, -0.31582108669494224, 0.7705771338391414, 0.24377949080872308, -0.4566587265431938, -0.36452016573846713, -1.0615117756657937, -1.411526515194137, -0.40210935568612516]","[0.004444454067039555, -0.8794518579307653, -1.215184510670512, 0.2917711686403137, 0.6246915495189845, -0.06856628395076919, -0.4223755845678092, -0.15333237345456252, -0.9848455889385124, -0.9191037207248808]","[-0.3507890071308756, -1.0345005240624863, -1.3364331227282116, -0.04904227855918697, 0.16737766012777033, -0.2033064114318206, -0.4808746139557426, -0.23579157345596968, -1.0670375604455038, -0.9387746975574607]","[0.57354534, 0.26334256, 0.88103956, 1.0049816, 0.8736573, -0.2989208, -0.98900425, -0.8690649, -1.0838422, -0.1983961]","(10, 2)",1e-07
18,"[0.6554220069690487, -0.27970866932576083, -0.36477843347642436, -0.031330279488522184, -0.4869737980110459, -1.1616764337448426, -0.8786642603399086, -0.2585873045465875, -0.1496013583854589, -0.758057730817691]","[1.072740373942728, 0.11905181999768472, -0.3392345793246032, -0.19516114381412275, 0.06625029241853919, -0.5200989442203154, -0.9016269616346848, -0.4278507795225662, -0.0446619147853044, -0.1272704009928067]","[1.1104534598927391, 0.12676081041037027, -0.3509295594688137, -0.20215282879348898, 0.06794268335994305, -0.535748963437608, -0.9326292382022119, -0.44369809858358134, -0.046471995874828226, -0.13128591814517543]","[0.46106502, 0.8629478, 0.76836216, 0.3550442, 0.7215809, 0.9211276, 0.79459155, 0.29293486, 0.18683629, 0.5683648]","(20, 4)",1e-08
8,"[-0.5392376484701498, -0.24463728906733906, 0.7282412778720037, 1.4384269050661023, 1.2770161250482572, 0.056670320913799865, 0.08564057267256359, -0.6072260147218465, -0.08552027540392126, -0.5199594079477082]","[-0.1981724671640641, -0.4401514148881177, -0.024561581623280204, 0.7405220686836438, 1.0681658707242803, 0.742933189686117, -0.31479627392925863, 0.2430387096371929, -0.7287453695404429, 0.2788524093663002]","[-0.19647562053824263, -0.4408738650682562, -0.025806820386238466, 0.7396653743263439, 1.0699146334682457, 0.7453758880011807, -0.3134613397843231, 0.24110934117329608, -0.7245192503508954, 0.2711808784710481]","[0.9069243, 0.7650587, 0.96648926, 0.786077, 0.4219819, -0.7741851, -0.63318294, 0.4004304, 1.0254169, 1.1727308]","(20, 4)",1e-08
12,"[0.15975893077394543, -0.6714124980704688, -1.290158604413174, -1.6942023779207949, -0.2920549054519067, 1.0150965112652832, 0.5274579925926742, 0.016072710814402813, -0.11857658304519078, 0.34342723076854553]","[0.9234486538678678, -0.30196539615998846, -0.5204297999904746, -1.029943704417937, -1.1792305257118265, 0.2975603574040065, 0.86631633256328, 0.09429982631103423, -0.0310772023411143, -0.10303798187463363]","[0.9212456465369723, -0.31123202313181053, -0.5171372230452628, -1.0370334024631656, -1.1796341715495808, 0.31216352592419316, 0.8644278806353993, 0.08561912866159938, -0.028118922866875423, -0.10528980813777677]","[-0.19856994, 0.3445625, 0.5884988, -0.42767912, 0.43374476, 0.19233604, 0.8146036, -0.6269077, -0.19247873, -0.6964858]","(10, 2)",1e-07
40,"[-0.8047873718045049, -0.1300202701662716, 0.695905070661731, 0.37099730432246275, -0.07549416870083717, -0.9612037512661388, -1.6009695774664776, -1.7099297981413237, -0.8936570159629138, -0.12911489059261472]","[-0.8058451454567335, -0.40186479907613815, 0.07091212937179747, 0.6604490059758323, 0.04077280133454661, -0.09588056936811047, -0.9132634665820836, -1.144337844175436, -1.1377608760536058, -0.3247765779361109]","[-0.8199558092372605, -0.43559218292100255, 0.0543295858742046, 0.6459013372697743, 0.09008485979246898, -0.1095386473845856, -0.8777195447666764, -1.1766966369530825, -1.1600702090232082, -0.38149462279795215]","[0.16190691, 0.18952192, -0.46585113, -0.96057403, -0.8990182, -0.942593, -0.31120616, -0.46980274, 0.1441518, 0.82638025]","(20, 4)",1e-07
32,"[0.3506014663779186, 0.4588708537287912, 0.6111870775222703, 0.7009557382411274, -0.33368058540159296, -0.3390673579828756, 0.5324358915267126, 1.0572967256413448, -0.0632253738257702, -0.19514903824269536]","[0.8439740211373092, -0.07138554419073598, 0.4945636258241592, 0.3639052646101907, 0.519003105936032, -0.593182138369609, -0.04247628879807108, 0.5536740359257482, 0.7804597076784707, -0.45345522766500557]","[0.8153999527866831, 0.019570657971601485, 0.43206255573104035, 0.41889038189035016, 0.5103466575863398, -0.5174009872422966, -0.12492988531318495, 0.558921919027225, 0.79722773095777, -0.3707085311797668]","[-0.828515, -0.43855488, 0.25613785, -0.26258948, -0.8581966, -0.40056396, -0.0696215, 0.6619681, 0.8096109, -0.7035249]","(10, 2)",1e-07
22,"[0.33438651265842706, 0.8984919538709591, 1.255431644998678, 1.783500954397775, 1.239939248831758, -0.1801253960457755, -0.6709199658377545, -1.1298765987584993, -0.5347702735330219, -0.5966475730795737]","[0.49832583589606355, 0.08522359471039528, 0.8558801565157614, 0.8274915667407973, 1.3697551710273763, 0.5550616633180699, -0.45765622770481046, -0.4420918519853493, -0.9088306727658247, -0.0803549371501095]","[0.5111764605514226, 0.07540392273048335, 0.8924021254783575, 0.8296765094942791, 1.4137676610701302, 0.5406688384737888, -0.47311410310900726, -0.44585386128694426, -0.9379882812724183, -0.057983543185382486]","[0.8604648, -0.46383598, -0.10404063, -0.8250588, -0.3541465, 1.0961963, 0.73851824, -0.5201786, 0.96746683, 1.2217102]","(10, 2)",1e-07
28,"[0.4827028715952292, 1.4678364634529344, 1.3724934473667743, 1.0175367027674227, 0.022275222104768733, -1.2173349750094409, -1.5869965908448915, -1.5499497042573265, -0.8359834031823613, 0.6462443282473137]","[-0.5051172102800897, 0.7352614767352741, 1.1002057250852975, 0.8223905848241256, 0.6063414103553598, -0.2808954830729112, -1.0768872334729853, -1.0485529741083988, -1.0256732172031269, -0.3231467945807978]","[-0.5195414260331399, 0.771516943954716, 1.1078640298170745, 0.8330566040689196, 0.6119265284706825, -0.3002502109032503, -1.0999498256590485, -1.0600522301621509, -1.0447528647293953, -0.3133278848491961]","[0.68634146, 1.0353142, 1.0702559, 0.9916809, 0.8126864, 0.50824517, 0.76882726, 0.8879987, 0.37582242, 0.036843494]","(10, 2)",1e-08
36,"[1.7070818713424813, 2.045447346725296, 2.1959127831650487, 2.2534853510824338, 1.5010977209710923, -0.09454852088964627, -1.462718595695245, -2.1904910799420496, -1.6940501142298685, 0.09280371768140017]","[0.7472668932694579, 1.3334484247077523, 1.3787231343714197, 1.5065512159793388, 1.5002097430927646, 0.7509928494247101, -0.47004494560200133, -1.2276961228942445, -1.5766430184949274, -0.9057286049824048]","[0.7643594362110601, 1.350962572400408, 1.410913011574669, 1.539368245203173, 1.5414982752528943, 0.778296843233744, -0.4728598850847549, -1.2555037111069236, -1.6182568123269663, -0.9375551485969383]","[-0.11727928, -0.9325822, -0.2552632, 0.6928771, 0.547356, 0.5099552, 0.57447785, 0.34725773, 0.35885656, 0.8136085]","(10, 2)",1e-07
34,"[0.3332583930137314, -0.23995789038278237, -0.1122022786309056, 1.0596879630957488, 1.177080487643221, 0.06245018526644397, 0.3923453408792714, 0.7568536651749199, 0.8723372494612107, 0.7982448589461052]","[-0.46563829537462587, 0.5660775407010443, -0.5229966607333045, 0.14929605173574667, 0.9850399372278754, 0.6845605190292833, -0.27983007424819767, 0.5322603780033702, 0.4907234761732348, 0.6269755113745933]","[-0.4306375999441421, 0.518082873552171, -0.4676908210503566, 0.1089861643877649, 0.955997536970557, 0.6745444323167372, -0.25513988136851307, 0.4915960034234371, 0.4902714220647818, 0.6011888317021465]","[-0.6741745, 0.12945929, -0.65511227, -0.76199496, -0.804857, 0.22750303, 1.1555699, 0.30180702, -0.09654446, -0.9963468]","(10, 2)",1e-07
